row	alpha	branch	matrix
2085	(w^3*4)	T2	(0,0,0)(1,1,1)(2,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,1)(4,2,0)(5,3,1)(6,3,1)(6,3,1)(6,3,0)(7,4,1)(8,4,1)(8,4,1)
2086	(w^4)	T2	(0,0,0)(1,1,1)(2,1,1)(2,1,1)(2,1,1)
2098	(w^4+1)	T1	(0,0,0)(1,1,1)(2,1,1)(2,1,1)(2,1,1)(2,1,0)(3,2,0)
2099	(w^4+2)	T1	(0,0,0)(1,1,1)(2,1,1)(2,1,1)(2,1,1)(2,1,0)(3,2,0)(4,3,0)
2100	(w^4+w)	T2	(0,0,0)(1,1,1)(2,1,1)(2,1,1)(2,1,1)(2,1,0)(3,2,1)
2101	(w^4+w2)	T2	(0,0,0)(1,1,1)(2,1,1)(2,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,0)(5,3,1)
2102	(w^4+w^2)	T2	(0,0,0)(1,1,1)(2,1,1)(2,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,1)
2103	(w^4+w^2*2)	T2	(0,0,0)(1,1,1)(2,1,1)(2,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,3,1)(6,3,1)
2104	(w^4+w^3)	T2	(0,0,0)(1,1,1)(2,1,1)(2,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,1)
2105	(w^4+w^3*2)	T2	(0,0,0)(1,1,1)(2,1,1)(2,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,1)(4,2,0)(5,3,1)(6,3,1)(6,3,1)
2106	(w^4*2)	T2	(0,0,0)(1,1,1)(2,1,1)(2,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,1)(4,2,1)
2107	(w^4*3)	T2	(0,0,0)(1,1,1)(2,1,1)(2,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,1)(4,2,1)(4,2,0)(5,3,1)(6,3,1)(6,3,1)(6,3,1)
2108	(w^5)	T2	(0,0,0)(1,1,1)(2,1,1)(2,1,1)(2,1,1)(2,1,1)
2110	(w^5+1)	T1	(0,0,0)(1,1,1)(2,1,1)(2,1,1)(2,1,1)(2,1,1)(2,1,0)(3,2,0)
2111	(w^5+w)	T2	(0,0,0)(1,1,1)(2,1,1)(2,1,1)(2,1,1)(2,1,1)(2,1,0)(3,2,1)
2112	(w^5+w^2)	T2	(0,0,0)(1,1,1)(2,1,1)(2,1,1)(2,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,1)
2113	(w^5*3)	T2	(0,0,0)(1,1,1)(2,1,1)(2,1,1)(2,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,1)(4,2,1)(4,2,1)
2114	(w^6)	T2	(0,0,0)(1,1,1)(2,1,1)(2,1,1)(2,1,1)(2,1,1)(2,1,1)
2115	(w^7)	T2	(0,0,0)(1,1,1)(2,1,1)(2,1,1)(2,1,1)(2,1,1)(2,1,1)(2,1,1)
2116	(w^w)	T0	(0,0,0)(1,1,1)(2,1,1)(3,0,0)
2130	(w^w+1)	T1	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(2,1,0)(3,2,0)
2131	(w^w+w2)	T1	(0,0,0)(1,1,1)(2,1,1)(3,0,0)(2,1,0)(3,2,0)(4,3,0)
