row	matrix	label_orig	label_norm	fix
115	(0,0)(1,1)(2,1)(2,0)(3,1)(4,0)	zew = psi(W^2*ew)	psi(W^2*ew)	alias2
116	(0,0)(1,1)(2,1)(2,0)(3,1)(4,0)(5,1)	zee0 = psi(W^2*ee0)	psi(W^2*ee0)	alias2
117	(0,0)(1,1)(2,1)(2,0)(3,1)(4,1)	zz0 = psi(W^2*z0) = psi(psi_1(W+z0))	psi(W^2*z0)	alias3
118	(0,0)(1,1)(2,1)(2,0)(3,1)(4,1)(3,1)(4,1)	zz1 = psi(W^2*z1)	psi(W^2*z1)	alias2
119	(0,0)(1,1)(2,1)(2,0)(3,1)(4,1)(4,0)	zzw = psi(W^2*zw)	psi(W^2*zw)	alias2
120	(0,0)(1,1)(2,1)(2,0)(3,1)(4,1)(4,0)(5,1)	zze0 = psi(W^2*ze0)	psi(W^2*ze0)	alias2
121	(0,0)(1,1)(2,1)(2,0)(3,1)(4,1)(4,0)(5,1)(6,1)	zzz0 = psi(W^2*zz0)	psi(W^2*zz0)	alias2
122	(0,0)(1,1)(2,1)(2,1)	phi(3,0) = psi(W^3) = psi(psi_1(W2))	psi(W^3)	alias3
123	(0,0)(1,1)(2,1)(2,1)(1,1)	e(phi(3,0)+1) = psi(W^3+W)	psi(W^3+W)	alias2
124	(0,0)(1,1)(2,1)(2,1)(1,1)(2,1)	z(phi(3,0)+1) = psi(W^3+W^2)	psi(W^3+W^2)	alias2
125	(0,0)(1,1)(2,1)(2,1)(1,1)(2,1)(2,1)	phi(3,1) = psi(W^3*2)	psi(W^3*2)	alias2
126	(0,0)(1,1)(2,1)(2,1)(2,0)	phi(3,w) = psi(W^3*w) = psi(psi_1(W2+1))	psi(W^3*w)	alias3
127	(0,0)(1,1)(2,1)(2,1)(2,0)(3,1)	phi(3,e0) = psi(W^3*e0)	psi(W^3*e0)	alias2
128	(0,0)(1,1)(2,1)(2,1)(2,0)(3,1)(4,1)	phi(3,z0) = psi(W^3*z0)	psi(W^3*z0)	alias2
